"","title","author","subject","abstract","meta"
"11","Large Scale Generative AI Text Applied to Sports and Music","Aaron Baughman, Stephen Hammer, Rahul Agarwal, Gozde Akay, Eduardo Morales, Tony Johnson, Leonid Karlinsky, Rogerio Feris","Computation and Language (cs.CL)","We address the problem of scaling up the production of media content, including commentary and personalized news stories, for large-scale sports and music events worldwide. Our approach relies on generative AI models to transform a large volume of multimodal data (e.g., videos, articles, real-time scoring feeds, statistics, and fact sheets) into coherent and fluent text. Based on this approach, we introduce, for the first time, an AI commentary system, which was deployed to produce automated narrations for highlight packages at the 2023 US Open, Wimbledon, and Masters tournaments. In the same vein, our solution was extended to create personalized content for ESPN Fantasy Football and stories about music artists for the Grammy awards. These applications were built using a common software architecture achieved a 15x speed improvement with an average Rouge-L of 82.00 and perplexity of 6.6. Our work was successfully deployed at the aforementioned events, supporting 90 million fans around the world with 8 billion page views, continuously pushing the bounds on what is possible at the intersection of sports, entertainment, and AI.","Wed, 31 Jan 2024 22:47:01 UTC (3,739 KB)[v2] Wed, 28 Feb 2024 00:03:57 UTC (3,705 KB)"
"12","Effects of term weighting approach with and without stop words removing on Arabic text classification","Esra'a Alhenawi, Ruba Abu Khurma, Pedro A. Castillo, Maribel G. Arenas","Computation and Language (cs.CL)","Classifying text is a method for categorizing documents into pre-established groups. Text documents must be prepared and represented in a way that is appropriate for the algorithms used for data mining prior to classification. As a result, a number of term weighting strategies have been created in the literature to enhance text categorization algorithms' functionality. This study compares the effects of Binary and Term frequency weighting feature methodologies on the text's classification method when stop words are eliminated once and when they are not. In recognition of assessing the effects of prior weighting of features approaches on classification results in terms of accuracy, recall, precision, and F-measure values, we used an Arabic data set made up of 322 documents divided into six main topics (agriculture, economy, health, politics, science, and sport), each of which contains 50 documents, with the exception of the health category, which contains 61 documents. The results demonstrate that for all metrics, the term frequency feature weighting approach with stop word removal outperforms the binary approach, while for accuracy, recall, and F-Measure, the binary approach outperforms the TF approach without stop word removal. However, for precision, the two approaches produce results that are very similar. Additionally, it is clear from the data that, using the same phrase weighting approach, stop word removing increases classification accuracy.","Wed, 21 Feb 2024 11:31:04 UTC (493 KB)"
"13","BeTAIL: Behavior Transformer Adversarial Imitation Learning from Human Racing Gameplay","Catherine Weaver, Chen Tang, Ce Hao, Kenta Kawamoto, Masayoshi Tomizuka, Wei Zhan","Machine Learning (cs.LG)","Imitation learning learns a policy from demonstrations without requiring hand-designed reward functions. In many robotic tasks, such as autonomous racing, imitated policies must model complex environment dynamics and human decision-making. Sequence modeling is highly effective in capturing intricate patterns of motion sequences but struggles to adapt to new environments or distribution shifts that are common in real-world robotics tasks. In contrast, Adversarial Imitation Learning (AIL) can mitigate this effect, but struggles with sample inefficiency and handling complex motion patterns. Thus, we propose BeTAIL: Behavior Transformer Adversarial Imitation Learning, which combines a Behavior Transformer (BeT) policy from human demonstrations with online AIL. BeTAIL adds an AIL residual policy to the BeT policy to model the sequential decision-making process of human experts and correct for out-of-distribution states or shifts in environment dynamics. We test BeTAIL on three challenges with expert-level demonstrations of real human gameplay in Gran Turismo Sport. Our proposed residual BeTAIL reduces environment interactions and improves racing performance and stability, even when the BeT is pretrained on different tracks than downstream learning. Videos and code available at: this https URL.","Thu, 22 Feb 2024 00:38:43 UTC (5,541 KB)"
"14","From Movements to Metrics: Evaluating Explainable AI Methods in Skeleton-Based Human Activity Recognition","Kimji N. Pellano, Inga Strümke, Espen Alexander F. Ihlen","Machine Learning (cs.LG)","The advancement of deep learning in human activity recognition (HAR) using 3D skeleton data is critical for applications in healthcare, security, sports, and human-computer interaction. This paper tackles a well-known gap in the field, which is the lack of testing in the applicability and reliability of XAI evaluation metrics in the skeleton-based HAR domain. We have tested established XAI metrics namely faithfulness and stability on Class Activation Mapping (CAM) and Gradient-weighted Class Activation Mapping (Grad-CAM) to address this problem. The study also introduces a perturbation method that respects human biomechanical constraints to ensure realistic variations in human movement. Our findings indicate that \textit{faithfulness} may not be a reliable metric in certain contexts, such as with the EfficientGCN model. Conversely, stability emerges as a more dependable metric when there is slight input data perturbations. CAM and Grad-CAM are also found to produce almost identical explanations, leading to very similar XAI metric performance. This calls for the need for more diversified metrics and new XAI methods applied in skeleton-based HAR.","Tue, 20 Feb 2024 07:58:04 UTC (526 KB)"
"15","Estimating the age-conditioned average treatment effects curves: An application for assessing load-management strategies in the NBA","Shinpei Nakamura-Sakai, Laura Forastiere, Brian Macdonald","Applications (stat.AP)","In the realm of competitive sports, understanding the performance dynamics of athletes, represented by the age curve (showing progression, peak, and decline), is vital. Our research introduces a novel framework for quantifying age-specific treatment effects, enhancing the granularity of performance trajectory analysis. Firstly, we propose a methodology for estimating the age curve using game-level data, diverging from traditional season-level data approaches, and tackling its inherent complexities with a meta-learner framework that leverages advanced machine learning models. This approach uncovers intricate non-linear patterns missed by existing methods. Secondly, our framework enables the identification of causal effects, allowing for a detailed examination of age curves under various conditions. By defining the Age-Conditioned Treatment Effect (ACTE), we facilitate the exploration of causal relationships regarding treatment impacts at specific ages. Finally, applying this methodology to study the effects of rest days on performance metrics, particularly across different ages, offers valuable insights into load management strategies' effectiveness. Our findings underscore the importance of tailored rest periods, highlighting their positive impact on athlete performance and suggesting a reevaluation of current management practices for optimizing athlete performance.","Sat, 17 Feb 2024 20:16:41 UTC (16,110 KB)"
"16","Postural adjustments preceding string release in trained archers","Andrian Kuch (PPRIME), Romain Tisserand (PPRIME), François Durand, Tony Monnet (PPRIME), Jean-François Debril","Quantitative Methods (q-bio.QM)","Optimal postural stability is required to perform in archery. Since the dynamic consequences of the string release may disturb the archer's postural equilibrium, they should have integrated them in their motor program to optimize postural stability. This study aimed to characterize the postural strategy archers use to limit the potentially detrimental impact of the bow release on their postural stability and identify characteristics that may explain a better performance. Six elite and seven sub-elite archers performed a series of 18 shots at 70 meters, standing on two force plates. Postural stability indicators were computed during the aiming and the shooting phase using the trajectory of the center of pressure. Two postural strategies were defined, as whether they were triggered before (early) or after (late) the string release time. Both groups used anticipated postural adjustments, but elite archers triggered them before the string release more often and sooner. Scores differed between the two groups, but no differences were found between early and late shots. Trained archers seem to have finely integrated the dynamic consequences of their bow motion, triggering anticipated postural adjustments prior to the string release. However, it remains unclear whether this anticipation can positively influence the performance outcome.","Wed, 14 Feb 2024 09:22:45 UTC (717 KB)"
"17","MLFEF: Machine Learning Fusion Model with Empirical Formula to Explore the Momentum in Competitive Sports","Ruixin Peng, Ziqing Li","Machine Learning (cs.LG)","Tennis is so popular that coaches and players are curious about factors other than skill, such as momentum. This article will try to define and quantify momentum, providing a basis for real-time analysis of tennis matches. Based on the tennis Grand Slam men's singles match data in recent years, we built two models, one is to build a model based on data-driven, and the other is to build a model based on empirical formulas. For the data-driven model, we first found a large amount of public data including public data on tennis matches in the past five years and personal information data of players. Then the data is preprocessed, and feature engineered, and a fusion model of SVM, Random Forrest algorithm and XGBoost was established. For the mechanism analysis model, important features were selected based on the suggestions of many tennis players and enthusiasts, the sliding window algorithm was used to calculate the weight, and different methods were used to visualize the momentum. For further analysis of the momentum fluctuation, it is based on the popular CUMSUM algorithm in the industry as well as the RUN Test, and the result shows the momentum is not random and the trend might be random. At last, the robustness of the fusion model is analyzed by Monte Carlo simulation.","Mon, 19 Feb 2024 14:02:13 UTC (1,175 KB)"
"18","Knowledge Graph Assisted Automatic Sports News Writing","Yang Cao, Xinyi Chen, Xin Zhang, Siying Li","Computation and Language (cs.CL)","In this paper, we present a novel method for automatically generating sports news, which employs a unique algorithm that extracts pivotal moments from live text broadcasts and uses them to create an initial draft of the news. This draft is further refined by incorporating key details and background information from a specially designed sports knowledge graph. This graph contains 5,893 entities, which are classified into three distinct conceptual categories, interconnected through four relationship types, and characterized by 27 unique attributes. In addition, we create a multi-stage learning model by combining convolutional neural networks and a transformer encoder. This model expresses entity-task interactions using convolutional neural networks and enriches entity representations in the query set with the transformer encoder. It also includes a processor to compute matching scores for incomplete triples, addressing few-shot knowledge graph completion problem. The efficiency of this approach has been confirmed through both subjective and objective evaluations of 50 selected test cases, demonstrating its capability in revolutionizing the creation of sports news.","Sat, 17 Feb 2024 04:54:58 UTC (368 KB)"
"19","SportsMetrics: Blending Text and Numerical Data to Understand Information Fusion in LLMs","Yebowen Hu, Kaiqiang Song, Sangwoo Cho, Xiaoyang Wang, Hassan Foroosh, Dong Yu, Fei Liu","Computation and Language (cs.CL)","Large language models hold significant potential for integrating various data types, such as text documents and database records, for advanced analytics. However, blending text and numerical data presents substantial challenges. LLMs need to process and cross-reference entities and numbers, handle data inconsistencies and redundancies, and develop planning capabilities such as building a working memory for managing complex data queries. In this paper, we introduce four novel tasks centered around sports data analytics to evaluate the numerical reasoning and information fusion capabilities of LLMs. These tasks involve providing LLMs with detailed, play-by-play sports game descriptions, then challenging them with adversarial scenarios such as new game rules, longer durations, scrambled narratives, and analyzing key statistics in game summaries. We conduct extensive experiments on NBA and NFL games to assess the performance of LLMs on these tasks. Our benchmark, SportsMetrics, introduces a new mechanism for assessing LLMs' numerical reasoning and fusion skills.","Thu, 15 Feb 2024 20:26:07 UTC (9,188 KB)"
"20","Foul prediction with estimated poses from soccer broadcast video","Jiale Fang, Calvin Yeung, Keisuke Fujii","Computer Vision and Pattern Recognition (cs.CV)","Recent advances in computer vision have made significant progress in tracking and pose estimation of sports players. However, there have been fewer studies on behavior prediction with pose estimation in sports, in particular, the prediction of soccer fouls is challenging because of the smaller image size of each player and of difficulty in the usage of e.g., the ball and pose information. In our research, we introduce an innovative deep learning approach for anticipating soccer fouls. This method integrates video data, bounding box positions, image details, and pose information by curating a novel soccer foul dataset. Our model utilizes a combination of convolutional and recurrent neural networks (CNNs and RNNs) to effectively merge information from these four modalities. The experimental results show that our full model outperformed the ablated models, and all of the RNN modules, bounding box position and image, and estimated pose were useful for the foul prediction. Our findings have important implications for a deeper understanding of foul play in soccer and provide a valuable reference for future research and practice in this area.","Thu, 15 Feb 2024 01:25:19 UTC (10,371 KB)"
"21","Custom IMU-Based Wearable System for Robust 2.4 GHz Wireless Human Body Parts Orientation Tracking and 3D Movement Visualization on an Avatar","Javier González-Alonso, David Oviedo-Pastor, Héctor J. Aguado, Francisco J. Díaz-Pernas, David González-Ortega, Mario Martínez-Zarzuela","Signal Processing (eess.SP)","Recent studies confirm the applicability of Inertial Measurement Unit (IMU)-based systems for human motion analysis. Notwithstanding, high-end IMU-based commercial solutions are yet too expensive and complex to democratize their use among a wide range of potential users. Less featured entry-level commercial solutions are being introduced in the market, trying to fill this gap, but still present some limitations that need to be overcome. At the same time, there is a growing number of scientific papers using not commercial, but custom do-it-yourself IMU-based systems in medical and sports applications. Even though these solutions can help to popularize the use of this technology, they have more limited features and the description on how to design and build them from scratch is yet too scarce in the literature. The aim of this work is two-fold: (1) Proving the feasibility of building an affordable custom solution aimed at simultaneous multiple body parts orientation tracking; while providing a detailed bottom-up description of the required hardware, tools, and mathematical operations to estimate and represent 3D movement in real-time. (2) Showing how the introduction of a custom 2.4 GHz communication protocol including a channel hopping strategy can address some of the current communication limitations of entry-level commercial solutions. The proposed system can be used for wireless real-time human body parts orientation tracking with up to 10 custom sensors, at least at 50 Hz. In addition, it provides a more reliable motion data acquisition in Bluetooth and Wi-Fi crowded environments, where the use of entry-level commercial solutions might be unfeasible. This system can be used as a groundwork for developing affordable human motion analysis solutions that do not require an accurate kinematic analysis.","Sun, 4 Feb 2024 19:08:34 UTC (3,327 KB)"
"22","Multimodal Action Quality Assessment","Ling-An Zeng, Wei-Shi Zheng","Signal Processing (eess.SP)","Action quality assessment (AQA) is to assess how well an action is performed. Previous works perform modelling by only the use of visual information, ignoring audio information. We argue that although AQA is highly dependent on visual information, the audio is useful complementary information for improving the score regression accuracy, especially for sports with background music, such as figure skating and rhythmic gymnastics. To leverage multimodal information for AQA, i.e., RGB, optical flow and audio information, we propose a Progressive Adaptive Multimodal Fusion Network (PAMFN) that separately models modality-specific information and mixed-modality information. Our model consists of with three modality-specific branches that independently explore modality-specific information and a mixed-modality branch that progressively aggregates the modality-specific information from the modality-specific branches. To build the bridge between modality-specific branches and the mixed-modality branch, three novel modules are proposed. First, a Modality-specific Feature Decoder module is designed to selectively transfer modality-specific information to the mixed-modality branch. Second, when exploring the interaction between modality-specific information, we argue that using an invariant multimodal fusion policy may lead to suboptimal results, so as to take the potential diversity in different parts of an action into consideration. Therefore, an Adaptive Fusion Module is proposed to learn adaptive multimodal fusion policies in different parts of an action. This module consists of several FusionNets for exploring different multimodal fusion strategies and a PolicyNet for deciding which FusionNets are enabled. Third, a module called Cross-modal Feature Decoder is designed to transfer cross-modal features generated by Adaptive Fusion Module to the mixed-modality branch.","Wed, 31 Jan 2024 15:37:12 UTC (3,168 KB)[v2] Tue, 20 Feb 2024 06:05:37 UTC (3,168 KB)"
"23","The socialisation of the adolescent who carries out team sports: a transversal study of centrality with a social network analysis","Pilar Marqués-Sánchez, José Alberto Benítez-Andrades, María Dolores Calvo Sánchez, Natalia Arias","Social and Information Networks (cs.SI)","Objectives: This study analyzed adolescent physical activity, its link to overweight, and the social network structure in group sports participants, focusing on centrality measures. Setting: Conducted in 11 classrooms across 5 schools in Ponferrada, Spain. Participants: Included 235 adolescents (49.4% female), categorized as normal weight or overweight. Methods: The Physical Activity Questionnaire for Adolescents (PAQ-A) assessed physical activity levels. Social network analysis evaluated centrality in varying contact degrees. Results: 30.2% were overweight. Males scored higher in PAQ-A and were more likely to engage in group sports. No significant correlation was found between physical activity and weight in the total sample. However, overweight females reported higher exercise levels. Centrality analysis showed gender differences; women in group sports had lower centrality, whereas men had higher. Conclusions: The study highlights the importance of gender and social network centrality in designing future strategies, considering peer interaction intensity","Wed, 14 Feb 2024 16:00:56 UTC (550 KB)"
"24","Unveiling Hidden Energy Anomalies: Harnessing Deep Learning to Optimize Energy Management in Sports Facilities","Fodil Fadli, Yassine Himeur, Mariam Elnour, Abbes Amira","Computers and Society (cs.CY)","Anomaly detection in sport facilities has gained significant attention due to its potential to promote energy saving and optimizing operational efficiency. In this research article, we investigate the role of machine learning, particularly deep learning, in anomaly detection for sport facilities. We explore the challenges and perspectives of utilizing deep learning methods for this task, aiming to address the drawbacks and limitations of conventional approaches. Our proposed approach involves feature extraction from the data collected in sport facilities. We present a problem formulation using Deep Feedforward Neural Networks (DFNN) and introduce threshold estimation techniques to identify anomalies effectively. Furthermore, we propose methods to reduce false alarms, ensuring the reliability and accuracy of anomaly detection. To evaluate the effectiveness of our approach, we conduct experiments on aquatic center dataset at Qatar University. The results demonstrate the superiority of our deep learning-based method over conventional techniques, highlighting its potential in real-world applications. Typically, 94.33% accuracy and 92.92% F1-score have been achieved using the proposed scheme.","Tue, 13 Feb 2024 19:27:06 UTC (839 KB)"
"25","Domestic Competitive Balance and International Success: The Case of The Football Industry","Juan D. Moreno-Ternero, Tim Pawlowski, Shlomo Weber","Theoretical Economics (econ.TH)","This paper examines the interdependence of international success and competitive balance of domestic sports competitions. More specifically, we apply the notion of the Herfindahl-Hirschman index to examine the effect of international rewards on distortion of competitive balance in domestic competitions and derive conditions under which the level of domestic competitive balance raises or falls. Our results yield interesting policy implications for the regulation of prize schemes in international competitions.","Tue, 13 Feb 2024 11:43:11 UTC (52 KB)"
"26","Towards the Human Digital Twin: Definition and Design -- A survey","Martin Wolfgang Lauer-Schmaltz, Philip Cash, John Paulin Hansen, Anja Maier","Human-Computer Interaction (cs.HC)","Human Digital Twins (HDTs) are a fast-emerging technology with significant potential in fields ranging from healthcare to sports. HDTs extend the traditional understanding of Digital Twins by representing humans as the underlying physical entity. This has introduced several significant challenges, including ambiguity in the definition of HDTs and a lack of guidance for their design. This survey brings together the recent advances in the field of HDTs to guide future developers by proposing a first cross-domain definition of HDTs based on their characteristics, as well as eleven key design considerations that emerge from the associated challenges.","Sat, 3 Feb 2024 01:33:05 UTC (963 KB)"
"27","PageRank and the Bradley-Terry model","David Antony Selby","Methodology (stat.ME)","PageRank and the Bradley-Terry model are competing approaches to ranking entities such as teams in sports tournaments or journals in citation networks. The Bradley-Terry model is a classical statistical method for ranking based on paired comparisons. The PageRank algorithm ranks nodes according to their importance in a network. Whereas Bradley-Terry scores are computed via maximum likelihood estimation, PageRanks are derived from the stationary distribution of a Markov chain. More recent work has shown maximum likelihood estimates for the Bradley-Terry model may be approximated from such a limiting distribution, an interesting connection that has been discovered and rediscovered over the decades. Here we show - through relatively simple mathematics - a connection between paired comparisons and PageRank that exploits the quasi-symmetry property of the Bradley-Terry model. This motivates a novel interpretation of Bradley-Terry scores as 'scaled' PageRanks, and vice versa, with direct implications for citation-based journal ranking metrics.","Mon, 12 Feb 2024 17:16:25 UTC (86 KB)"
"28","Min-Max transformation for the measurement of sports performance through PIR","Román Salmerón","Applications (stat.AP)","The objective of this work is to analyze the usefulness to transform the information to measure sports performance. This analysis is carried out within the field of basketball due to the existing tradition in this sport in data collection, although it is easily adaptable to any other sport. As a result, a modification of the Performance Index Rating (PIR) is proposed to measure sports performance. The results obtained are illustrated from the statistics of Larry Bird, Earvin Johnson, Michael Jordan and Kobe Bryant throughout their careers and can serve to optimize the process of player renewal/firing/hiring in the design of a roster or to aid decision-making in awarding individual awards as best player of a season.","Sat, 10 Feb 2024 17:54:01 UTC (332 KB)"
